name,uid,code,parent
Acrelândia,DWC9iFzTFlM,BRA120001,Q2ZT5PhkkZZ
Assis Brasil,WIrHuLCemKt,BRA120005,Q2ZT5PhkkZZ
Brasiléia,EXTr3CcZVRn,BRA120010,Q2ZT5PhkkZZ
Bujari,QHFl67yjYOJ,BRA120013,Q2ZT5PhkkZZ
Capixaba,ky9MWKiOndk,BRA120017,Q2ZT5PhkkZZ
Cruzeiro do Sul,gkUhxyI71ar,BRA120020,Q2ZT5PhkkZZ
Epitaciolândia,N1qhh1ubNVF,BRA120025,Q2ZT5PhkkZZ
Feijó,Tw2O5WBqhml,BRA120030,Q2ZT5PhkkZZ
Jordão,vx9QZ4DcWq0,BRA120032,Q2ZT5PhkkZZ
Mâncio Lima,lrjegRs0Wal,BRA120033,Q2ZT5PhkkZZ
Manoel Urbano,LJBNaLeNTEO,BRA120034,Q2ZT5PhkkZZ
Marechal Thaumaturgo,hl2YaVqwwvg,BRA120035,Q2ZT5PhkkZZ
Plácido de Castro,i8exDvREZ1R,BRA120038,Q2ZT5PhkkZZ
Porto Acre,DGxdby0dq3P,BRA120080,Q2ZT5PhkkZZ
Porto Walter,Stzf0kDy26t,BRA120039,Q2ZT5PhkkZZ
Rio Branco,oIonpiQCkRa,BRA120040,Q2ZT5PhkkZZ
Rodrigues Alves,KAHNeVC1i8f,BRA120042,Q2ZT5PhkkZZ
Santa Rosa do Purus,nZY7FPX0neL,BRA120043,Q2ZT5PhkkZZ
Sena Madureira,x5Y4i41MyZv,BRA120050,Q2ZT5PhkkZZ
Senador Guiomard,xl1vHUEZz7U,BRA120045,Q2ZT5PhkkZZ
Tarauacá,BnRMye8rX7b,BRA120060,Q2ZT5PhkkZZ
Xapuri,sdZIkl9hx5v,BRA120070,Q2ZT5PhkkZZ
Água Branca,KwElwKB7mFP,BRA270010,XbJLiVaCjBc
Anadia,hbvO9qwQGqE,BRA270020,XbJLiVaCjBc
Arapiraca,KVbeSD9aMRh,BRA270030,XbJLiVaCjBc
Atalaia,A8pDUxMWlnm,BRA270040,XbJLiVaCjBc
Barra de Santo Antônio,yr8iTnl6qL9,BRA270050,XbJLiVaCjBc
Barra de São Miguel,fSM3ZjD7WHQ,BRA270060,XbJLiVaCjBc
Batalha,lTK5wfepow2,BRA270070,XbJLiVaCjBc
Belém,iiESJ8dz8yk,BRA270080,XbJLiVaCjBc
Belo Monte,xxc4HAdJtpM,BRA270090,XbJLiVaCjBc
Boca da Mata,A8B0IpTl17U,BRA270100,XbJLiVaCjBc
Branquinha,lNXU7I5UlFE,BRA270110,XbJLiVaCjBc
Cacimbinhas,tPNm6RFinT0,BRA270120,XbJLiVaCjBc
Cajueiro,jHMkIZFBgB4,BRA270130,XbJLiVaCjBc
Campestre,Np0EKK17jGl,BRA270135,XbJLiVaCjBc
Campo Alegre,VW4tHAPgzuu,BRA270140,XbJLiVaCjBc
Campo Grande,aYgDnOgMsnv,BRA270150,XbJLiVaCjBc
Canapi,WNmf8RqrAQL,BRA270160,XbJLiVaCjBc
Capela,t4qTY90WHCy,BRA270170,XbJLiVaCjBc
Carneiros,OZMnXCZN3yn,BRA270180,XbJLiVaCjBc
Chã Preta,tAvYMXSJaBK,BRA270190,XbJLiVaCjBc
Coité do Nóia,EIlXH2E0TnC,BRA270200,XbJLiVaCjBc
Colônia Leopoldina,T8BazMQJio2,BRA270210,XbJLiVaCjBc
Coqueiro Seco,N2dBZFk1Bz2,BRA270220,XbJLiVaCjBc
Coruripe,mO2NkiOjqS8,BRA270230,XbJLiVaCjBc
Craíbas,tsr3Q7gQ2S2,BRA270235,XbJLiVaCjBc
Delmiro Gouveia,tiyJTVoskAM,BRA270240,XbJLiVaCjBc
Dois Riachos,juJGvuapf4b,BRA270250,XbJLiVaCjBc
Estrela de Alagoas,w2eVqOFPE1T,BRA270255,XbJLiVaCjBc
Feira Grande,fF8SL8EYBtm,BRA270260,XbJLiVaCjBc
Feliz Deserto,TWpiZh7bPPP,BRA270270,XbJLiVaCjBc
Flexeiras,FQIm1T9cEAs,BRA270280,XbJLiVaCjBc
Girau do Ponciano,g1QAyh6lrnR,BRA270290,XbJLiVaCjBc
Ibateguara,bQxwIcnrwii,BRA270300,XbJLiVaCjBc
Igaci,IBKAJOdyFC5,BRA270310,XbJLiVaCjBc
Igreja Nova,c12GItMEviu,BRA270320,XbJLiVaCjBc
Inhapi,i5mn5aqhDoO,BRA270330,XbJLiVaCjBc
Jacaré dos Homens,Jpf2Y4OoluF,BRA270340,XbJLiVaCjBc
Jacuípe,IWrEQ9mSoW8,BRA270350,XbJLiVaCjBc
Japaratinga,MDmru28TFOn,BRA270360,XbJLiVaCjBc
Jaramataia,OwF6Ousp1T5,BRA270370,XbJLiVaCjBc
Jequiá da Praia,WXFRsf047XA,BRA270375,XbJLiVaCjBc
Joaquim Gomes,UNcs7A46Huv,BRA270380,XbJLiVaCjBc
Jundiá,mTCxTBouvzR,BRA270390,XbJLiVaCjBc
Junqueiro,bQBJoO4ViXV,BRA270400,XbJLiVaCjBc
Lagoa da Canoa,KLZxBVxnBYe,BRA270410,XbJLiVaCjBc
Limoeiro de Anadia,ME2SqZvl6B4,BRA270420,XbJLiVaCjBc
Maceió,ldUE1aMcfBJ,BRA270430,XbJLiVaCjBc
Major Isidoro,hgMrGgKEF41,BRA270440,XbJLiVaCjBc
Mar Vermelho,TedffksDZ3Q,BRA270490,XbJLiVaCjBc
Maragogi,XXkUBufGzUm,BRA270450,XbJLiVaCjBc
Maravilha,FbSc6lvltwU,BRA270460,XbJLiVaCjBc
Marechal Deodoro,Js6T84DIGIJ,BRA270470,XbJLiVaCjBc
Maribondo,ydQmdXrppO5,BRA270480,XbJLiVaCjBc
Mata Grande,kCiacuGSJMr,BRA270500,XbJLiVaCjBc
Matriz de Camaragibe,LfXYZCIUMDd,BRA270510,XbJLiVaCjBc
Messias,qFQmFDqMbnK,BRA270520,XbJLiVaCjBc
Minador do Negrão,Mnd16A4rKq0,BRA270530,XbJLiVaCjBc
Monteirópolis,oYIVI5Hn1EE,BRA270540,XbJLiVaCjBc
Murici,T8VxbEmgeKv,BRA270550,XbJLiVaCjBc
Novo Lino,qtanqppASa0,BRA270560,XbJLiVaCjBc
Olho d'Água das Flores,rxjiumQIWAs,BRA270570,XbJLiVaCjBc
Olho d'Água do Casado,X4ixO459kPl,BRA270580,XbJLiVaCjBc
Olho d'Água Grande,sOteOfvHse0,BRA270590,XbJLiVaCjBc
Olivença,PYdXPQUVRLn,BRA270600,XbJLiVaCjBc
Ouro Branco,EvGkR4Db4sv,BRA270610,XbJLiVaCjBc
Palestina,w5COKzlox6A,BRA270620,XbJLiVaCjBc
Palmeira dos Índios,aS84syZ4JTw,BRA270630,XbJLiVaCjBc
Pão de Açúcar,BJDVTCcLE8t,BRA270640,XbJLiVaCjBc
Pariconha,pEWO0hdRoTT,BRA270642,XbJLiVaCjBc
Paripueira,Acujy4svkyV,BRA270644,XbJLiVaCjBc
Passo de Camaragibe,dxZSQeE0dIb,BRA270650,XbJLiVaCjBc
Paulo Jacinto,HNWH4EJqtED,BRA270660,XbJLiVaCjBc
Penedo,GlrChnIhAxE,BRA270670,XbJLiVaCjBc
Piaçabuçu,Ec5XXOxmdb3,BRA270680,XbJLiVaCjBc
Pilar,A0rzVpQrW62,BRA270690,XbJLiVaCjBc
Pindoba,ZGE0wAgPeJY,BRA270700,XbJLiVaCjBc
Piranhas,ArQbUDzz3Rs,BRA270710,XbJLiVaCjBc
Poço das Trincheiras,oGVLAl7Xwzg,BRA270720,XbJLiVaCjBc
Porto Calvo,iJwEp8KPlwI,BRA270730,XbJLiVaCjBc
Porto de Pedras,oz04TPJ42XW,BRA270740,XbJLiVaCjBc
Porto Real do Colégio,B1MkWNtBk6X,BRA270750,XbJLiVaCjBc
Quebrangulo,Awg7L0urLyk,BRA270760,XbJLiVaCjBc
Rio Largo,k4zZM4F8ej1,BRA270770,XbJLiVaCjBc
Roteiro,FO5P18sIPh5,BRA270780,XbJLiVaCjBc
Santa Luzia do Norte,jHOvzZE2pq3,BRA270790,XbJLiVaCjBc
Santana do Ipanema,J2Pp1Rqgr3U,BRA270800,XbJLiVaCjBc
Santana do Mundaú,wdFEqKp3hEF,BRA270810,XbJLiVaCjBc
São Brás,uEom2KqujWR,BRA270820,XbJLiVaCjBc
São José da Laje,XFa7OPHH8Pw,BRA270830,XbJLiVaCjBc
São José da Tapera,TGO7gT5YbyH,BRA270840,XbJLiVaCjBc
São Luís do Quitunde,fMwKRVolpTz,BRA270850,XbJLiVaCjBc
São Miguel dos Campos,rOIE1wdNdT9,BRA270860,XbJLiVaCjBc
São Miguel dos Milagres,H7arH2bEquz,BRA270870,XbJLiVaCjBc
São Sebastião,P7SqKxOjYXN,BRA270880,XbJLiVaCjBc
Satuba,bCt9vG2xTRL,BRA270890,XbJLiVaCjBc
Senador Rui Palmeira,yeQNq08RAAi,BRA270895,XbJLiVaCjBc
Tanque d'Arca,dMmaoYyf5nH,BRA270900,XbJLiVaCjBc
Taquarana,Dn7DSTavvS8,BRA270910,XbJLiVaCjBc
Teotônio Vilela,PFfkOi6RnQF,BRA270915,XbJLiVaCjBc
Traipu,Uoyrk3llVUy,BRA270920,XbJLiVaCjBc
União dos Palmares,BzgNroiVUXf,BRA270930,XbJLiVaCjBc
Viçosa,QE1aHmSsvYn,BRA270940,XbJLiVaCjBc
Amapá,L6fY3m93Ofn,BRA160010,sGbKAFKkViB
Calçoene,Z5SY0vMfGc0,BRA160020,sGbKAFKkViB
Cutias,h8Dog3tm1zo,BRA160021,sGbKAFKkViB
Ferreira Gomes,GiIedCiFlN8,BRA160023,sGbKAFKkViB
Itaubal,sDwvimamHfE,BRA160025,sGbKAFKkViB
Laranjal do Jari,JKTJDIGJh1D,BRA160027,sGbKAFKkViB
Macapá,mnR2rAQqV4p,BRA160030,sGbKAFKkViB
Mazagão,HQ0kcMudrMU,BRA160040,sGbKAFKkViB
Oiapoque,kSdVnyRwO7U,BRA160050,sGbKAFKkViB
Pedra Branca do Amapari,EpLkUt2KWXf,BRA160015,sGbKAFKkViB
Porto Grande,K6Li5bQ4usP,BRA160053,sGbKAFKkViB
Pracuúba,Ge1IlJXfFnn,BRA160055,sGbKAFKkViB
Santana,Ggo3mvihpnV,BRA160060,sGbKAFKkViB
Serra do Navio,UmYteQRVm9n,BRA160005,sGbKAFKkViB
Tartarugalzinho,awgholr5SMF,BRA160070,sGbKAFKkViB
Vitória do Jari,tkOHaLBrVkt,BRA160080,sGbKAFKkViB
Alvarães,f6f52jlsFxh,BRA130002,JtW9OXeBtZJ
Amaturá,lvBt6CI2x64,BRA130006,JtW9OXeBtZJ
Anamã,vmY3yg5127t,BRA130008,JtW9OXeBtZJ
Anori,unLV8HxhQE3,BRA130010,JtW9OXeBtZJ
Apuí,r7JTJyoSH2q,BRA130014,JtW9OXeBtZJ
Atalaia do Norte,mDJsuq1jQ6X,BRA130020,JtW9OXeBtZJ
Autazes,zWQ2mXj2qZu,BRA130030,JtW9OXeBtZJ
Barcelos,ZS4okM7oWm9,BRA130040,JtW9OXeBtZJ
Barreirinha,LqC6eh8tkp6,BRA130050,JtW9OXeBtZJ
Benjamin Constant,mw0M0UFHpd7,BRA130060,JtW9OXeBtZJ
Beruri,nRGIIuVQ5JL,BRA130063,JtW9OXeBtZJ
Boa Vista do Ramos,V0nyZZP1c8u,BRA130068,JtW9OXeBtZJ
Boca do Acre,WqaMFlSxNks,BRA130070,JtW9OXeBtZJ
Borba,uYKKqTrYdIl,BRA130080,JtW9OXeBtZJ
Caapiranga,J68fVDQJRaP,BRA130083,JtW9OXeBtZJ
Canutama,X5k8aKzIibi,BRA130090,JtW9OXeBtZJ
Carauari,RAV1lTbGZtz,BRA130100,JtW9OXeBtZJ
Careiro,ZDzB2bFSIIz,BRA130110,JtW9OXeBtZJ
Careiro da Várzea,cYOhOBqIzm5,BRA130115,JtW9OXeBtZJ
Coari,kqEmbW6JNBe,BRA130120,JtW9OXeBtZJ
Codajás,Y7wze6BNll9,BRA130130,JtW9OXeBtZJ
Eirunepé,hZSiV7h2cRo,BRA130140,JtW9OXeBtZJ
Envira,kdjHzQwOPct,BRA130150,JtW9OXeBtZJ
Fonte Boa,d2nASBhlglv,BRA130160,JtW9OXeBtZJ
Guajará,x65XrxhaEmF,BRA130165,JtW9OXeBtZJ
Humaitá,tFIExBO7xHR,BRA130170,JtW9OXeBtZJ
Ipixuna,E355VVCXsbO,BRA130180,JtW9OXeBtZJ
Iranduba,ExpDOM3KLO4,BRA130185,JtW9OXeBtZJ
Itacoatiara,ycwheLOdFWq,BRA130190,JtW9OXeBtZJ
Itamarati,gdQ2qcY4EvW,BRA130195,JtW9OXeBtZJ
Itapiranga,A9N70u0u3C3,BRA130200,JtW9OXeBtZJ
Japurá,w3NhKTv8UKH,BRA130210,JtW9OXeBtZJ
Juruá,ZLFV0444n5V,BRA130220,JtW9OXeBtZJ
Jutaí,rhs2foJjNKo,BRA130230,JtW9OXeBtZJ
Lábrea,SlycpgqDDSN,BRA130240,JtW9OXeBtZJ
Manacapuru,FLHuM0OFPZj,BRA130250,JtW9OXeBtZJ
Manaquiri,E8fob5tUIYC,BRA130255,JtW9OXeBtZJ
Manaus,kUmQ30JwXoB,BRA130260,JtW9OXeBtZJ
Manicoré,HtbtblBKyQM,BRA130270,JtW9OXeBtZJ
Maraã,Z2Q57JW7Ciq,BRA130280,JtW9OXeBtZJ
Maués,dNYHB44jHkW,BRA130290,JtW9OXeBtZJ
Nhamundá,XKi1up7VpDS,BRA130300,JtW9OXeBtZJ
Nova Olinda do Norte,TAbXjClpEA3,BRA130310,JtW9OXeBtZJ
Novo Airão,saQj3kyHckr,BRA130320,JtW9OXeBtZJ
Novo Aripuanã,wdSEI06lWnb,BRA130330,JtW9OXeBtZJ
Parintins,Ez1ZFsZ7D3b,BRA130340,JtW9OXeBtZJ
Pauini,tbgt0Tv7SjZ,BRA130350,JtW9OXeBtZJ
Presidente Figueiredo,qZVT0VNijoG,BRA130353,JtW9OXeBtZJ
Rio Preto da Eva,Y6olpyUyzmF,BRA130356,JtW9OXeBtZJ
Santa Isabel do Rio Negro,DgSLExPS7Zr,BRA130360,JtW9OXeBtZJ
Santo Antônio do Içá,RBH1fL4CfaM,BRA130370,JtW9OXeBtZJ
São Gabriel da Cachoeira,GDTGi74W004,BRA130380,JtW9OXeBtZJ
São Paulo de Olivença,ZD5uK3Ebnhj,BRA130390,JtW9OXeBtZJ
São Sebastião do Uatumã,a50XAgyJsK4,BRA130395,JtW9OXeBtZJ
Silves,zGSBXTspj81,BRA130400,JtW9OXeBtZJ
Tabatinga,KfHS5ULB0JS,BRA130406,JtW9OXeBtZJ
Tapauá,q2QrfjvM7fa,BRA130410,JtW9OXeBtZJ
Tefé,RMXEPdJ32Vi,BRA130420,JtW9OXeBtZJ
Tonantins,vcpZy4Rd5L3,BRA130423,JtW9OXeBtZJ
Uarini,k6NxXXMxbGz,BRA130426,JtW9OXeBtZJ
Urucará,TZXGjUrDhRw,BRA130430,JtW9OXeBtZJ
Urucurituba,ygShwI4IO3W,BRA130440,JtW9OXeBtZJ
Abaíra,LmRkC6hPqqn,BRA290010,MxHTf6HoO9K
Abaré,ZG8nNnanUq0,BRA290020,MxHTf6HoO9K
Acajutiba,Bc9TZNnwGtZ,BRA290030,MxHTf6HoO9K
Adustina,Fpj955oQZTr,BRA290035,MxHTf6HoO9K
Água Fria,qfkSncycErf,BRA290040,MxHTf6HoO9K
Aiquara,jxvhNp2NIXH,BRA290060,MxHTf6HoO9K
Alagoinhas,qQTWsZIMrtI,BRA290070,MxHTf6HoO9K
Alcobaça,PW627aqxLfi,BRA290080,MxHTf6HoO9K
Almadina,EwuHY3zgYey,BRA290090,MxHTf6HoO9K
Amargosa,XMXSKX9ObP6,BRA290100,MxHTf6HoO9K
Amélia Rodrigues,ZPOIVS3LmBu,BRA290110,MxHTf6HoO9K
América Dourada,GbGbTEXcGZv,BRA290115,MxHTf6HoO9K
Anagé,PRFfrdGF4aP,BRA290120,MxHTf6HoO9K
Andaraí,AE94beSsaU5,BRA290130,MxHTf6HoO9K
Andorinha,enHGZU94mwE,BRA290135,MxHTf6HoO9K
Angical,emtnGhkRHfg,BRA290140,MxHTf6HoO9K
Anguera,C7wn6p4mobo,BRA290150,MxHTf6HoO9K
Antas,YozOZVn4WYP,BRA290160,MxHTf6HoO9K
Antônio Cardoso,U27j2cznC8Z,BRA290170,MxHTf6HoO9K
Antônio Gonçalves,v1pBQ3cM2Nk,BRA290180,MxHTf6HoO9K
Aporá,udjcfMGwGN7,BRA290190,MxHTf6HoO9K
Apuarema,OYaDfujKGz2,BRA290195,MxHTf6HoO9K
Araças,xU7X8K0pHGD,BRA290205,MxHTf6HoO9K
Aracatu,R9nZCcYVimO,BRA290200,MxHTf6HoO9K
Araci,n5aoSwgBh8x,BRA290210,MxHTf6HoO9K
Aramari,byxuebh9Inw,BRA290220,MxHTf6HoO9K
Arataca,F8yQVslQgrA,BRA290225,MxHTf6HoO9K
Aratuípe,uAqDkKUgk8m,BRA290230,MxHTf6HoO9K
Aurelino Leal,ndFvT9d2R0v,BRA290240,MxHTf6HoO9K
Baianópolis,HQmQuAF7A3R,BRA290250,MxHTf6HoO9K
Baixa Grande,qsVLDEMniTK,BRA290260,MxHTf6HoO9K
Banzaê,kaMq7q1wCC3,BRA290265,MxHTf6HoO9K
Barra,KeRs4AYSxMC,BRA290270,MxHTf6HoO9K
Barra da Estiva,GhK6uhL9krn,BRA290280,MxHTf6HoO9K
Barra do Choça,JNbRTnYpZuG,BRA290290,MxHTf6HoO9K
Barra do Mendes,UP1g5Mv34ix,BRA290300,MxHTf6HoO9K
Barra do Rocha,j1YtiP6Pzps,BRA290310,MxHTf6HoO9K
Barreiras,VESQdqcU6QQ,BRA290320,MxHTf6HoO9K
Barro Alto,uc3spGu7pjO,BRA290323,MxHTf6HoO9K
Barro Preto,wUvhzER39Vo,BRA290330,MxHTf6HoO9K
Barrocas,thHpFdVXri7,BRA290327,MxHTf6HoO9K
Belmonte,DberxQNnTVN,BRA290340,MxHTf6HoO9K
Belo Campo,SaHHbTaf7jX,BRA290350,MxHTf6HoO9K
Biritinga,sMaqKORtNVp,BRA290360,MxHTf6HoO9K
Boa Nova,BYVZfe1H5ek,BRA290370,MxHTf6HoO9K
Boa Vista do Tupim,MXyFaXS2FLZ,BRA290380,MxHTf6HoO9K
Bom Jesus da Lapa,XRDcKokNgOA,BRA290390,MxHTf6HoO9K
Bom Jesus da Serra,lsOuMFV5oBd,BRA290395,MxHTf6HoO9K
Boninal,Xo3fV6SeXPq,BRA290400,MxHTf6HoO9K
Bonito,SiphT7fDITL,BRA290405,MxHTf6HoO9K
Boquira,z5nMPS9yeZs,BRA290410,MxHTf6HoO9K
Botuporã,osg3kuyBIaS,BRA290420,MxHTf6HoO9K
Brejões,fn4S2lr3Bpy,BRA290430,MxHTf6HoO9K
Brejolândia,dB06hFohClg,BRA290440,MxHTf6HoO9K
Brotas de Macaúbas,GNY0NX6GZ7w,BRA290450,MxHTf6HoO9K
Brumado,opnX2tjXcEJ,BRA290460,MxHTf6HoO9K
Buerarema,x5jYA0MwNm0,BRA290470,MxHTf6HoO9K
Buritirama,iE84Px9DD8Y,BRA290475,MxHTf6HoO9K
Caatiba,SPqIVdygv9I,BRA290480,MxHTf6HoO9K
Cabaceiras do Paraguaçu,DI9NFNDd3o7,BRA290485,MxHTf6HoO9K
Cachoeira,zGObMu6beug,BRA290490,MxHTf6HoO9K
Caculé,EljeUuz4BrQ,BRA290500,MxHTf6HoO9K
Caém,JBI1BQlgy8n,BRA290510,MxHTf6HoO9K
Caetanos,Rgbg3LZrU1f,BRA290515,MxHTf6HoO9K
Caetité,vikMPxF3jp9,BRA290520,MxHTf6HoO9K
Cafarnaum,qJGeMVhlzdl,BRA290530,MxHTf6HoO9K
Cairu,TB6QSxNFbdu,BRA290540,MxHTf6HoO9K
Caldeirão Grande,hx3U9XkhHfE,BRA290550,MxHTf6HoO9K
Camacan,saDq6WydhAV,BRA290560,MxHTf6HoO9K
Camaçari,otnNs3sBqxm,BRA290570,MxHTf6HoO9K
Camamu,L7yhGJLgNmF,BRA290580,MxHTf6HoO9K
Campo Alegre de Lourdes,WyxJwN1uJT4,BRA290590,MxHTf6HoO9K
Campo Formoso,MeNLtBe1vB5,BRA290600,MxHTf6HoO9K
Canápolis,CW2N1ZLBexP,BRA290610,MxHTf6HoO9K
Canarana,Yd5SPRTorq2,BRA290620,MxHTf6HoO9K
Canavieiras,B5B9zxHJ6GN,BRA290630,MxHTf6HoO9K
Candeal,Cu3ZvpEdcyW,BRA290640,MxHTf6HoO9K
Candeias,rjq0bJ2rtts,BRA290650,MxHTf6HoO9K
Candiba,wu0pRpfIa53,BRA290660,MxHTf6HoO9K
Cândido Sales,Y0OePd7FaIR,BRA290670,MxHTf6HoO9K
Cansanção,NFXjMMTpLjJ,BRA290680,MxHTf6HoO9K
Canudos,ksUMZuhq97A,BRA290682,MxHTf6HoO9K
Capela do Alto Alegre,pv0rqXjwMo2,BRA290685,MxHTf6HoO9K
Capim Grosso,Ofryl4jzXhQ,BRA290687,MxHTf6HoO9K
Caraíbas,opPER9KEDtD,BRA290689,MxHTf6HoO9K
Caravelas,MU4wz9Ux6yB,BRA290690,MxHTf6HoO9K
Cardeal da Silva,T9pHMFop6eR,BRA290700,MxHTf6HoO9K
Carinhanha,qCxRFRrdXtf,BRA290710,MxHTf6HoO9K
Casa Nova,kRsrfePCIJh,BRA290720,MxHTf6HoO9K
Castro Alves,Xv4lGdbRYS0,BRA290730,MxHTf6HoO9K
Catolândia,t60dPkS6jGD,BRA290740,MxHTf6HoO9K
Catu,FnoC2w5ZIbt,BRA290750,MxHTf6HoO9K
Caturama,GDiYtNAaj0w,BRA290755,MxHTf6HoO9K
Central,C07Sl4xHdds,BRA290760,MxHTf6HoO9K
Chorrochó,CXMPsQuUJyq,BRA290770,MxHTf6HoO9K
Cícero Dantas,inV95nGJ69j,BRA290780,MxHTf6HoO9K
Cipó,to5iH9n0feI,BRA290790,MxHTf6HoO9K
Coaraci,lNnPh3s8JIA,BRA290800,MxHTf6HoO9K
Cocos,BC8yzLWyvAe,BRA290810,MxHTf6HoO9K
Conceição da Feira,ypNOO2J8sNR,BRA290820,MxHTf6HoO9K
Conceição do Almeida,qKHcSQPzMWK,BRA290830,MxHTf6HoO9K
Conceição do Coité,Q0hoqq13AcX,BRA290840,MxHTf6HoO9K
Conceição do Jacuípe,BgONeBo09Oz,BRA290850,MxHTf6HoO9K
Conde,buLUafz6yXT,BRA290860,MxHTf6HoO9K
Condeúba,OhGKTmHjpc6,BRA290870,MxHTf6HoO9K
Contendas do Sincorá,sjOu1pLnKfH,BRA290880,MxHTf6HoO9K
Coração de Maria,fX62zD1PSyF,BRA290890,MxHTf6HoO9K
Cordeiros,sF8Xos7wRWX,BRA290900,MxHTf6HoO9K
Coribe,E5MgpGPel5G,BRA290910,MxHTf6HoO9K
Coronel João Sá,cqoxLWvZ3Am,BRA290920,MxHTf6HoO9K
Correntina,BW8ynXkbQyJ,BRA290930,MxHTf6HoO9K
Cotegipe,aL2QA6VX3JW,BRA290940,MxHTf6HoO9K
Cravolândia,s90m3sIXpZh,BRA290950,MxHTf6HoO9K
Crisópolis,g1La3VlRkKn,BRA290960,MxHTf6HoO9K
Cristópolis,Aqx75svgpaV,BRA290970,MxHTf6HoO9K
Cruz das Almas,tNgbUsfZCTn,BRA290980,MxHTf6HoO9K
Curaçá,tixBvJRcBhx,BRA290990,MxHTf6HoO9K
Dário Meira,f0thsofZWdZ,BRA291000,MxHTf6HoO9K
Dias d'Ávila,eVQGFT9HdxY,BRA291005,MxHTf6HoO9K
Dom Basílio,qD3qdoflZae,BRA291010,MxHTf6HoO9K
Dom Macedo Costa,wVEZm16Ckgo,BRA291020,MxHTf6HoO9K
Elísio Medrado,zY94OEGla9Y,BRA291030,MxHTf6HoO9K
Encruzilhada,i5GXwMERZkf,BRA291040,MxHTf6HoO9K
Entre Rios,lShSKpxQ09J,BRA291050,MxHTf6HoO9K
Érico Cardoso,fNyP4A7hGke,BRA290050,MxHTf6HoO9K
Esplanada,JTTT6DiuFL0,BRA291060,MxHTf6HoO9K
Euclides da Cunha,hnvYYm71LrY,BRA291070,MxHTf6HoO9K
Eunápolis,MMqWVkUW5ud,BRA291072,MxHTf6HoO9K
Fátima,uCOHMxhnWCF,BRA291075,MxHTf6HoO9K
Feira da Mata,rL2gvcbAB7I,BRA291077,MxHTf6HoO9K
Feira de Santana,Co70npclyzl,BRA291080,MxHTf6HoO9K
Filadélfia,QcOl26Vat5B,BRA291085,MxHTf6HoO9K
Firmino Alves,jX0qsOKaL9n,BRA291090,MxHTf6HoO9K
Floresta Azul,HvUBVKcRigX,BRA291100,MxHTf6HoO9K
Formosa do Rio Preto,BoHCtBMl8zw,BRA291110,MxHTf6HoO9K
Gandu,C8LrvV8B3Bd,BRA291120,MxHTf6HoO9K
