name,uid,code,parent
Gavião,z4ZkjmY9a5K,BRA291125,MxHTf6HoO9K
Gentio do Ouro,LnNRlFAMNvf,BRA291130,MxHTf6HoO9K
Glória,YXJfUFPeqVQ,BRA291140,MxHTf6HoO9K
Gongogi,uvIQTuMuyWf,BRA291150,MxHTf6HoO9K
Governador Mangabeira,uRj8xoGpc6G,BRA291160,MxHTf6HoO9K
Guajeru,lkLIPuSeJCF,BRA291165,MxHTf6HoO9K
Guanambi,PdQbkSis0n4,BRA291170,MxHTf6HoO9K
Guaratinga,JlQxJhc3fvf,BRA291180,MxHTf6HoO9K
Heliópolis,wVnVf5YARQ1,BRA291185,MxHTf6HoO9K
Iaçu,kEww44t5b3b,BRA291190,MxHTf6HoO9K
Ibiassucê,Ny7TSHYlmJG,BRA291200,MxHTf6HoO9K
Ibicaraí,cVnwqc3l9Jy,BRA291210,MxHTf6HoO9K
Ibicoara,K2c2qdpA7Z5,BRA291220,MxHTf6HoO9K
Ibicuí,vfO4x8RimGU,BRA291230,MxHTf6HoO9K
Ibipeba,ZlIB5uA21QQ,BRA291240,MxHTf6HoO9K
Ibipitanga,cnTlffZONSp,BRA291250,MxHTf6HoO9K
Ibiquera,EMEHGXSJD7I,BRA291260,MxHTf6HoO9K
Ibirapitanga,lWM6lV0RWBn,BRA291270,MxHTf6HoO9K
Ibirapuã,g0GaZF7ZSZe,BRA291280,MxHTf6HoO9K
Ibirataia,lO2dbccWqwI,BRA291290,MxHTf6HoO9K
Ibitiara,GAaurxbnWfA,BRA291300,MxHTf6HoO9K
Ibititá,gns62gxpNEJ,BRA291310,MxHTf6HoO9K
Ibotirama,xk1Th6GXCzs,BRA291320,MxHTf6HoO9K
Ichu,Fjx1iaywLjF,BRA291330,MxHTf6HoO9K
Igaporã,POqMUq4mYrG,BRA291340,MxHTf6HoO9K
Igrapiúna,nf3fRnm8Vey,BRA291345,MxHTf6HoO9K
Iguaí,lvzVEikttWY,BRA291350,MxHTf6HoO9K
Ilhéus,NE7s5PvnHyq,BRA291360,MxHTf6HoO9K
Inhambupe,CJefz7Qdvaa,BRA291370,MxHTf6HoO9K
Ipecaetá,jBD2k6Ft4R5,BRA291380,MxHTf6HoO9K
Ipiaú,SQVGujExiVX,BRA291390,MxHTf6HoO9K
Ipirá,x8Sk3XMcXTq,BRA291400,MxHTf6HoO9K
Ipupiara,ex2M1kmHHNA,BRA291410,MxHTf6HoO9K
Irajuba,f6InCzFHgPl,BRA291420,MxHTf6HoO9K
Iramaia,ZoUuPa3c6Va,BRA291430,MxHTf6HoO9K
Iraquara,iqBxuv9vkuw,BRA291440,MxHTf6HoO9K
Irará,WqqA6EEqHh5,BRA291450,MxHTf6HoO9K
